parent_sector,parent_sector_id,major_industry,major_industry_id,sub_industry,sub_industry_id
AGROCHEMICALS,SEC_AGROCHEMICALS,Crop Protection Formulations & Technicals,IND_CROP_PROTECTION_FORMULATIONS_TECHNICALS,"Generic Technical Grade Insecticides, Herbicides & Fungicides",SUB_GENERIC_TECHNICAL_GRADE_INSECTICIDES_HERBICIDES_FUNGICIDES
AGROCHEMICALS,SEC_AGROCHEMICALS,Custom Synthesis & Agchem CRAMS,IND_CUSTOM_SYNTHESIS_AGCHEM_CRAMS,Patented Agrochemical Active Ingredients & Global Innovator CRAMS,SUB_PATENTED_AGROCHEMICAL_ACTIVE_INGREDIENTS_GLOBAL_INNOVATOR_CRAMS
ALUMINIUM & COPPER,SEC_ALUMINIUM_COPPER,Copper Mining & Cathode Smelting,IND_COPPER_MINING_CATHODE_SMELTING,"Primary Copper Ore Beneficiation, Refined Cathodes & Continuous Cast Rods",SUB_PRIMARY_COPPER_ORE_BENEFICIATION_REFINED_CATHODES_CONTINUOUS_CAST_RODS
ALUMINIUM & COPPER,SEC_ALUMINIUM_COPPER,Primary Aluminium & Value-Added Products,IND_PRIMARY_ALUMINIUM_VALUE_ADDED_PRODUCTS,"Bauxite Refining, Primary Aluminium Ingots & Flat Rolled Foils",SUB_BAUXITE_REFINING_PRIMARY_ALUMINIUM_INGOTS_FLAT_ROLLED_FOILS
ALUMINIUM & COPPER,SEC_ALUMINIUM_COPPER,"Zinc, Lead & Non-Ferrous Alloys",IND_ZINC_LEAD_NON_FERROUS_ALLOYS,"Refined Zinc Ingots, Lead Metal & Specialized Non-Ferrous Alloys",SUB_REFINED_ZINC_INGOTS_LEAD_METAL_SPECIALIZED_NON_FERROUS_ALLOYS
AUTO,SEC_AUTO,Automobile OEM Assembly,IND_AUTOMOBILE_OEM_ASSEMBLY,Multi-Segment Motor Vehicle Assembly & Powertrains,SUB_MULTI_SEGMENT_MOTOR_VEHICLE_ASSEMBLY_POWERTRAINS
AUTO,SEC_AUTO,Commercial Vehicles (Trucks & Buses),IND_COMMERCIAL_VEHICLES_TRUCKS_BUSES,Heavy & Medium Duty Haulage Trucks and City Transit Buses,SUB_HEAVY_MEDIUM_DUTY_HAULAGE_TRUCKS_AND_CITY_TRANSIT_BUSES
AUTO,SEC_AUTO,Electric Vehicles & Clean Mobility,IND_ELECTRIC_VEHICLES_CLEAN_MOBILITY,Zero-Emission Electric City Buses & EV Powertrains,SUB_ZERO_EMISSION_ELECTRIC_CITY_BUSES_EV_POWERTRAINS
AUTO,SEC_AUTO,Passenger Vehicles (Cars & SUVs),IND_PASSENGER_VEHICLES_CARS_SUVS,"Internal Combustion & Hybrid Hatchbacks, Sedans and SUVs",SUB_INTERNAL_COMBUSTION_HYBRID_HATCHBACKS_SEDANS_AND_SUVS
AUTO,SEC_AUTO,Tractors & Farm Equipment,IND_TRACTORS_FARM_EQUIPMENT,"Agricultural Tractors, Harvesters & Farm Implements",SUB_AGRICULTURAL_TRACTORS_HARVESTERS_FARM_IMPLEMENTS
