symbol,company_name,isin,parent_sector,parent_sector_id,major_industry,major_industry_id,sub_industry,sub_industry_id,primary_business,classification_confidence,classification_rationale,classification_source,effective_from,effective_to,last_verified,verification_status
AAKAAR,AAKAAR,,COMMERCIAL TRADING,SEC_COMMERCIAL_TRADING,Wholesale Commodity & Industrial Distribution,IND_WHOLESALE_COMMODITY_INDUSTRIAL_DISTRIBUTION,"Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports",SUB_DOMESTIC_B2B_COMMODITY_TRADING_RAW_MATERIAL_WHOLESALE_MERCHANT_EXPORTS,"Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",HIGH,"Classified into Parent Sector 'COMMERCIAL TRADING' and Major Industry 'Wholesale Commodity & Industrial Distribution' (Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports) based on primary economic business exposure: Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",EXCHANGE_BUSINESS_DESCRIPTION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AARADHYA,AARADHYA,,COMMERCIAL TRADING,SEC_COMMERCIAL_TRADING,Wholesale Commodity & Industrial Distribution,IND_WHOLESALE_COMMODITY_INDUSTRIAL_DISTRIBUTION,"Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports",SUB_DOMESTIC_B2B_COMMODITY_TRADING_RAW_MATERIAL_WHOLESALE_MERCHANT_EXPORTS,"Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",HIGH,"Classified into Parent Sector 'COMMERCIAL TRADING' and Major Industry 'Wholesale Commodity & Industrial Distribution' (Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports) based on primary economic business exposure: Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",EXCHANGE_BUSINESS_DESCRIPTION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AATMAJ,AATMAJ,,INDUSTRIAL MACHINERY,SEC_INDUSTRIAL_MACHINERY,"Pumps, Compressors & Fluid Handling",IND_PUMPS_COMPRESSORS_FLUID_HANDLING,"Industrial Centrifugal Pumps, Rotary Screw Air Compressors & Valves",SUB_INDUSTRIAL_CENTRIFUGAL_PUMPS_ROTARY_SCREW_AIR_COMPRESSORS_VALVES,"Engineering of high-pressure industrial centrifugal water pumps, oil-free rotary screw air compressors and flow control valves.",HIGH,"Classified into Parent Sector 'INDUSTRIAL MACHINERY' and Major Industry 'Pumps, Compressors & Fluid Handling' (Industrial Centrifugal Pumps, Rotary Screw Air Compressors & Valves) based on primary economic business exposure: Engineering of high-pressure industrial centrifugal water pumps, oil-free rotary screw air compressors and flow control valves.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABGSEC,ABGSEC,,COMMERCIAL TRADING,SEC_COMMERCIAL_TRADING,Wholesale Commodity & Industrial Distribution,IND_WHOLESALE_COMMODITY_INDUSTRIAL_DISTRIBUTION,"Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports",SUB_DOMESTIC_B2B_COMMODITY_TRADING_RAW_MATERIAL_WHOLESALE_MERCHANT_EXPORTS,"Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",HIGH,"Classified into Parent Sector 'COMMERCIAL TRADING' and Major Industry 'Wholesale Commodity & Industrial Distribution' (Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports) based on primary economic business exposure: Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",EXCHANGE_BUSINESS_DESCRIPTION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABHAPOWER,ABHAPOWER,,POWER,SEC_POWER,Power Transmission & Distribution EPC,IND_POWER_TRANSMISSION_DISTRIBUTION_EPC,"Turnkey EHV Substations, Overhead Lines & Integrated Utilities",SUB_TURNKEY_EHV_SUBSTATIONS_OVERHEAD_LINES_INTEGRATED_UTILITIES,"Turnkey engineering and installation of extra-high-voltage transmission lines, substations and city power distribution.",HIGH,"Classified into Parent Sector 'POWER' and Major Industry 'Power Transmission & Distribution EPC' (Turnkey EHV Substations, Overhead Lines & Integrated Utilities) based on primary economic business exposure: Turnkey engineering and installation of extra-high-voltage transmission lines, substations and city power distribution.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABSL10BANK,ABSL10BANK,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABSLBANETF,ABSLBANETF,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABSLLIQUID,ABSLLIQUID,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABSLMSCIN,ABSLMSCIN,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABSLNN50ET,ABSLNN50ET,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
