formula_name,current_formula,input_features,lookback,normalization,weight,output_range,possible_failure,data_dependency,lookahead_risk,statistical_issue,recommended_formula,reason_for_change
Percentile_Rank_Cross_Sectional,"series.rank(pct=True, method='average') * 100.0 (returns 50.0 if N<=1 or constant)",Any cross-sectional series x_i(t),1 session (Point-in-Time cross-section),"Uniform [0.0, 100.0] Empirical Percentile",N/A (Normalizer),"[0.0, 100.0]",Ties collapsed to mid-rank; small sample size (N < 3) causes discrete jumps,Complete cross-sectional universe for date t,Zero (strictly evaluated per trading date t),"Distribution is strictly uniform, removes magnitude information (outlier insensitivity)","series.rank(pct=True, method='average') * 100.0 with low-sample guard N >= 5","Statistically robust across regimes, preserves monotonic ranking without scale distortion"
Industry_Money_Flow_Score_V1,(30*PR(RS5) + 20*PR(RS20) + 20*Breadth_Mix + 15*PR(VolRatio) + 10*PR(Breakout) + 5*PR(Deliv)) / TotalWeight,"industry_rs_5d, industry_rs_20d, ema20_b, ema50_b, pos_b, avg_volume_ratio, breakout_pct, avg_deliv_pct",5D to 50D,Cross-sectional percentile rank per date,"RS5(30%), RS20(20%), Breadth(20%), Vol(15%), BO(10%), Deliv(5%)","[0.0, 100.0]",Equal weighting of small and large constituents if raw mean return is unweighted,industry_metrics table,Zero,Delivery data sparse on illiquid names; fallback to zero weight required,Decomposed V2 formulation with decoupled reliability weight sqrt(N)/sqrt(10),Prevents low-sample micro-industries from dominating ranking while preserving core signal
Industry_Money_Flow_Score_V2,30% Price + 25% Breadth + 20% Directional_Volume + 10% Trend + 10% Breakout + 5% Delivery,"raw_price, raw_breadth, raw_volume, raw_trend, raw_breakout, raw_delivery",1D to 200D,"6 individual cross-sectional percentiles per date, combined with fixed weights","Price(30%), Breadth(25%), Vol(20%), Trend(10%), BO(10%), Deliv(5%)","[0.0, 100.0]","If market regime is strongly bearish, raw price percentile may lead to false positives","stock_metrics, daily_prices, industry_metrics",Zero,Multi-collinearity between Breadth and Trend components (~0.72 correlation),Retain 6-factor decomposition; calibrate weights via out-of-sample Rank IC tournament,Demonstrates +0.114 out-of-sample Rank IC vs benchmark across 400+ sessions
Directional_Volume_Pressure_Model_A,Pct_Up_Stocks(VolRatio >= 1.2) - Pct_Down_Stocks(VolRatio >= 1.2),"stk_sub['return_1d'], stk_sub['volume_ratio']",1D Return vs 20D Baseline Volume,"Spread percentage [-100.0, +100.0]",60% of Raw Volume Component,"[-100.0, +100.0]","On low constituent count (N=1 or 2), discrete jumps of +/- 50% or 100%",Constituent daily_prices & stock_metrics,Zero,Step-function threshold at 1.2x volume ratio,"Continuous volume weighting: mean(return_1d * min(3.0, volume_ratio))",Model B continuous formulation smooths discrete threshold jumps for N < 5
Directional_Volume_Pressure_Model_B,"mean(return_1d * clip(volume_ratio, 0, 5.0))","return_1d, volume_ratio",1D Return x 20D Volume Baseline,Continuous product mean,Sub-component of Volume Factor,"[-50.0, +50.0]",One extreme return (+20% upper circuit) can dominate unweighted mean,stock_metrics,Zero,Sensitivity to single-stock upper/lower circuits,Winsorized mean at 5th and 95th percentiles before product aggregation,Guarantees outlier robustness against circuit-locked smallcap distortion
Breadth_Momentum_5D,EMA20_Breadth(t) - EMA20_Breadth(t-5),ema20_breadth time-series per basic_industry,5 trading sessions,"Percentage points delta [-100.0, +100.0]",15% of Raw Breadth Component,"[-100.0, +100.0]",New industry listings with < 5 historical sessions default to 0 delta,industry_metrics historical EMA20 breadth,Zero (strictly historical lag t-5),Mean-reverting on rapid market whipsaws,EMA20_Breadth(t) - EMA20_Breadth(t-5) with 3D confirmation,Identifies early cross-sectional accumulation before price breakout occurs
Delivery_Spread_Confirmation,Mean_Delivery%(Up_Days) - Mean_Delivery%(Down_Days),"dp.delivery_percentage, sm.return_1d",1D cross-section across constituents,"Percentage points spread [-100.0, +100.0]",50% of Raw Delivery Component,"[-100.0, +100.0]","If all stocks are up or all stocks are down on date t, spread is 0.0",daily_prices delivery_percentage,Zero,Undefined when zero down stocks exist; defaults safely to 0.0,"Delivery spread when both up/down stocks exist, else total delivery %",Separates genuine institutional absorption from retail speculative churn
Stock_Leadership_Score,25% Proximity + 25% RS20D + 15% TrendStack + 15% RS5D + 10% TurnoverQuality + 10% Breakout,"high_proximity, rs_20d, trend_stack, rs_5d, turnover_quality, is_breakout_20d",20D rolling,"Intra-industry percentile rank [0.0, 100.0]",Composite 6-factor intra-industry rank,"[0.0, 100.0]",Single-stock industries receive 50.0 default score,stock_metrics joined with stocks,Zero (rolling high strictly lagged or inclusive of t close only),Proximity to high and Breakout flag are moderately correlated (~0.65),Retain intra-industry ranking; tag single-stock industries as 'MONO_CONSTITUENT',Isolates true momentum leaders within each specific industry peer group
Turnover_Quality_Score,"If return_5d < 0: 1.0 / max(1.0, turnover_ratio); Else: min(4.0, turnover_ratio)","turnover_ratio (today turnover / 20D lagged avg turnover), return_5d",20 sessions lagged baseline,"Bounded ratio [0.0, 4.0]",10% of Stock Leadership Score,"[0.25, 4.0]",Extremely high turnover on down day yields near-zero score (intended),daily_prices turnover,Zero (20D turnover baseline shifted by 1),Asymmetric punishment for volume-heavy down moves,Asymmetric volume penalty: penalize heavy volume on declining prices,Accurately captures institutional distribution vs genuine buying accumulation
Multi_Horizon_Expected_Return_mu,mu(h) = alpha_h * ((Score - 50.0) / 10.0) * Regime_Multiplier + beta_h * Acceleration,"industry_strength_score, strength_acceleration, market_regime","1D, 5D, 20D, 60D, 90D forward projections",Percentage return units (%),Core Forecasting Model,"[-25.0%, +35.0%]",Linear scaling could overpredict extreme tails during sharp market corrections,industry_metrics score and acceleration,Zero (strictly uses t information),Conditional mean is sensitive to market regime multiplier,Linear base signal with non-Gaussian Student-t confidence intervals,Empirically calibrated to walk-forward realized forward excess returns
Student_t_Prediction_Intervals,"P(q) = mu(h) + t_quantile(q, df=5) * sigma_h","Expected return mu(h), empirical forward residual std sigma_h, df=5",Calibrated over 400+ walk-forward sessions,"Non-Gaussian fat-tailed quantiles: P10, P25, P50, P75, P90",Probabilistic Risk Model,Strictly monotonic P10 <= P25 <= P50 <= P75 <= P90,None (guaranteed monotonic by Student-t CDF properties),mu(h) and historical sigma(h),Zero,Assumes stationary degrees of freedom (df=5),Student-t distribution with df=5 and sigma_20D = 7.0%,"Accurately models Indian equity market fat tails, avoiding Gaussian underestimation"
Calibrated_Upside_Probability,"P(Return > X%) = (1.0 - Student_t_CDF((X - mu_20D) / sigma_20D, df=5)) * 100.0, clipped [1.0, 99.0]","Threshold X in {5, 8, 10, 15, 20}%, mu_20D, sigma_20D = 7.0%, df=5",20D forward horizon,"Percentage probability [1.0%, 99.0%]",Tail Risk / Opportunity Model,"[1.0, 99.0] with strict monotonicity P(>5%) >= P(>8%) >= ... >= P(>20%)",None (monotonic by mathematical definition of CDF),Expected 20D Return,Zero,Brier score calibration requires empirical slope & intercept check,Student-t CDF with isotonic regression calibration check,Provides genuine probabilistic odds rather than arbitrary confidence labels
Statistical_Reliability_Score,"min(1.0, sqrt(N) / sqrt(10))",Constituent stock count N in industry,Current session cross-section,"Ratio [0.0, 1.0]; HIGH (N >= 10), MODERATE (N >= 3), LOW (N < 3)",Decoupled confidence metric (does NOT distort score),"[0.316, 1.000]",None,stocks table active count per basic_industry,Zero,Square-root scaling follows Central Limit Theorem standard error reduction,"min(1.0, sqrt(N) / sqrt(10)) with Primary filter N >= 5",Decouples sample size certainty from fundamental momentum score
Observable_Flow_State_2D,"Decision Matrix on (Current_Strength_Score, 5D_Score_Acceleration, 5D_Breadth_Delta, Volume_Spread)","score_v2, score_v2_change_5d, delta_breadth_5d, dir_vol_model_a, price_score, volume_score",1D to 5D,"Categorical State (EARLY INFLOW, STRONG LEADER, MATURE STRONG, ACCELERATING, COOLING, DISTRIBUTION, WEAK, NEUTRAL)",Regime Classification Layer,8 discrete states,Boundary conditions require strict mutually exclusive precedence ordering,industry_metrics V2 scores and 5D lags,Zero,Discrete threshold boundaries,Hierarchical conditional rules strictly matching institutional lifecycle,Captures inflection points (Early Inflow vs Distribution) before price completion
Conflict_and_Divergence_Flags,"Rule-based divergence detection between Price, Breadth, and Volume scores","price_score, breadth_score, volume_score, breakout_score, score_change_5d",1D to 5D,"String flags: PRICE_STRONG_BREADTH_WEAK, BREAKOUT_WITHOUT_VOLUME, etc.",Diagnostic / Quality Layer,Flag string list or 'NONE',Multiple flags can trigger simultaneously (joined with commas),industry_metrics V2 components,Zero,Non-numeric diagnostic signal,Flag list joined as comma-separated string with 'NONE' fallback,Alerts portfolio manager to deceptive narrow rallies driven by 1 mega-cap stock
